"Category,Code,Description"
"Atrial Fibrillation,AF006,Stroke risk assessment using CHA2DS2-VASc score in last 12 months"
"Atrial Fibrillation,AF008,AF patients at high stroke risk on anticoagulation"
"Coronary Heart Disease,CHD005,Patients on antiplatelet or anticoagulant therapy"
"Coronary Heart Disease,CHD015,BP ≤140/90 in CHD patients aged 79 or under"
"Coronary Heart Disease,CHD016,BP ≤150/90 in CHD patients aged 80 or over"
"Cholesterol,CHOL003,Patients on statin or alternative lipid-lowering therapy"
"Cholesterol,CHOL004,Cholesterol controlled to target levels"
"Heart Failure,HF008,Diagnosis confirmed by echo or specialist"
"Heart Failure,HF003,Patients on ACE inhibitor or ARB"
"Heart Failure,HF006,Patients on beta-blocker"
"Heart Failure,HF007,Annual heart failure review including medication and function"
"Hypertension,HYP008,BP ≤140/90 in patients aged 79 or under"
"Hypertension,HYP009,BP ≤150/90 in patients aged 80 or over"
"Stroke/TIA,STIA007,Patients on antiplatelet or anticoagulant"
"Stroke/TIA,STIA014,BP ≤140/90 in patients aged 79 or under"
"Stroke/TIA,STIA015,BP ≤150/90 in patients aged 80 or over"
"Diabetes,DM006,ACE inhibitor or ARB for kidney disease"
"Diabetes,DM012,Annual foot check and risk classification"
"Diabetes,DM014,Referral to diabetes education after diagnosis"
"Diabetes,DM036,BP ≤140/90 in non-frail patients aged 79 or under"
"Diabetes,DM020,HbA1c ≤58 in non-frail patients"
"Diabetes,DM021,HbA1c ≤75 in frail patients"
"Diabetes,DM034,Statin use in patients without cardiovascular disease"
"Diabetes,DM035,Statin use in patients with cardiovascular disease"
"Non-diabetic Hyperglycaemia,NDH002,Annual HbA1c or fasting glucose test"
"Asthma,AST012,Objective test around asthma diagnosis"
"Asthma,AST007,Annual asthma review with control and action plan"
"COPD,COPD010,Annual COPD review with exacerbations and breathlessness"
"Dementia,DEM004,Annual dementia care plan review"
"Mental Health,MH002,Comprehensive care plan documented"
"Mental Health,MH003,Blood pressure recorded"
"Mental Health,MH006,BMI recorded"
"Mental Health,MH007,Alcohol consumption recorded"
"Mental Health,MH011,Lipid profile recorded"
"Mental Health,MH012,Blood glucose or HbA1c recorded"
"Public Health BP,BP002,Blood pressure recorded in last 5 years"
"Smoking,SMOK002,Smoking status recorded"
"Smoking,SMOK004,Smokers offered support or treatment"
"Vaccinations,VI001,Infant DTaP vaccination by 8 months"
"Vaccinations,VI002,MMR vaccination by 18 months"
"Vaccinations,VI003,Full childhood immunisations by age 5"
"Vaccinations,VI004,Shingles vaccination in eligible adults"
"Cervical Screening,CS005,Screening coverage age 25 to 49"
"Cervical Screening,CS006,Screening coverage age 50 to 64"
