layer,path,used_by_public_app,generated_by,refresh_or_build_step,notes
configuration,config/indicators.yml,True,manual edit,manual edit,Indicator definitions
configuration,config/sources.yml,True,manual edit,manual edit,Source input definitions
metadata_manifest,data/metadata/api_refresh_manifest.csv,False,etl/build_tool_metadata.py,python3 etl/build_tool_metadata.py,Canonical API refresh reference
metadata_manifest,data/metadata/indicator_manifest.csv,False,etl/build_tool_metadata.py,python3 etl/build_tool_metadata.py,Canonical live indicator manifest for colleagues
metadata_manifest,data/metadata/source_manifest.csv,False,etl/build_tool_metadata.py,python3 etl/build_tool_metadata.py,Canonical source manifest for colleagues
metadata_manifest,data/metadata/tool_data_file_manifest.csv,False,etl/build_tool_metadata.py,python3 etl/build_tool_metadata.py,Canonical file inventory for app-relevant data
metadata_manifest,data/source_inventory.csv,False,etl/inspect_sources.py,etl/inspect_sources.py,Detailed raw file inventory
metadata_manifest,london_maps/data_for_app/indicator_source_inventory.csv,True,manual edit,manual edit,Source inventory for live and candidate sources
metadata_manifest,london_maps/data_for_app/indicator_visualisation_guidance_final.csv,True,manual edit,manual edit,Visualisation and UI contract
processed_runtime,data/processed/borough_benchmarks.parquet,True,etl/build_benchmarks.py,etl/build_benchmarks.py,Borough benchmark values
processed_runtime,data/processed/indicator_catalog.parquet,True,etl/build_indicator_catalog.py,etl/build_indicator_catalog.py,Processed live indicator catalogue
processed_runtime,data/processed/london_benchmarks.parquet,True,etl/build_benchmarks.py,etl/build_benchmarks.py,London benchmark values
processed_runtime,data/processed/lsoa_indicator_values.parquet,True,etl/standardise_sources.py,etl/standardise_sources.py,LSOA-level standardised indicator values
processed_runtime,data/processed/neighbourhood_boundaries.geojson,True,etl/standardise_sources.py,etl/standardise_sources.py,Neighbourhood map geometry
processed_runtime,data/processed/neighbourhood_hex.geojson,True,etl/standardise_sources.py,etl/standardise_sources.py,Neighbourhood hex geometry
processed_runtime,data/processed/neighbourhood_indicator_values.parquet,True,etl/aggregate_to_neighbourhoods.py,etl/aggregate_to_neighbourhoods.py,Neighbourhood-level indicator values
processed_runtime,data/processed/neighbourhood_reference.parquet,True,etl/standardise_sources.py,etl/standardise_sources.py,Neighbourhood lookup and geography context
source_input,london_maps/data_for_app/Census/census2021-ts001/census2021-ts001-lsoa.csv,True,,Replace the local Census files manually when a new official release is adopted.,ONS Census 2021 (Population; LSOA; 2021)
source_input,london_maps/data_for_app/Census/census2021-ts007a/census2021-ts007a-lsoa.csv,True,,Replace the local Census files manually when a new official release is adopted.,ONS Census 2021 (Population; LSOA; 2021)
source_input,london_maps/data_for_app/Census/census2021-ts008/census2021-ts008-lsoa.csv,True,,Replace the local Census files manually when a new official release is adopted.,ONS Census 2021 (Population; LSOA; 2021)
